/usr/lib/python2.7/dist-packages/scipy/lib/_util.py:35: DeprecationWarning: Module scipy.linalg.blas.fblas is deprecated, use scipy.linalg.blas instead
  DeprecationWarning)
/usr/lib/python2.7/dist-packages/scipy/lib/_util.py:35: DeprecationWarning: Module scipy.linalg.blas.fblas is deprecated, use scipy.linalg.blas instead
  DeprecationWarning)
/usr/lib/python2.7/dist-packages/scipy/lib/_util.py:35: DeprecationWarning: Module scipy.linalg.blas.fblas is deprecated, use scipy.linalg.blas instead
  DeprecationWarning)
/usr/lib/python2.7/dist-packages/scipy/lib/_util.py:35: DeprecationWarning: Module scipy.linalg.blas.fblas is deprecated, use scipy.linalg.blas instead
  DeprecationWarning)
/usr/lib/python2.7/dist-packages/scipy/lib/_util.py:35: DeprecationWarning: Module scipy.linalg.blas.fblas is deprecated, use scipy.linalg.blas instead
  DeprecationWarning)
/usr/lib/python2.7/dist-packages/scipy/lib/_util.py:35: DeprecationWarning: Module scipy.linalg.blas.fblas is deprecated, use scipy.linalg.blas instead
  DeprecationWarning)
/usr/lib/python2.7/dist-packages/scipy/lib/_util.py:35: DeprecationWarning: Module scipy.linalg.blas.fblas is deprecated, use scipy.linalg.blas instead
  DeprecationWarning)
/usr/lib/python2.7/dist-packages/scipy/lib/_util.py:35: DeprecationWarning: Module scipy.linalg.blas.fblas is deprecated, use scipy.linalg.blas instead
  DeprecationWarning)
Using gpu device 0: GRID K520
loading data
Training for Protists
epoch 46/200, minibatch 2/2, validation error nan %
epoch 47/200, minibatch 2/2, validation error nan %
epoch 48/200, minibatch 2/2, validation error nan %
epoch 49/200, minibatch 2/2, validation error nan %
epoch 50/200, minibatch 2/2, validation error nan %
epoch 51/200, minibatch 2/2, validation error nan %
epoch 52/200, minibatch 2/2, validation error nan %
epoch 53/200, minibatch 2/2, validation error nan %
epoch 54/200, minibatch 2/2, validation error nan %
epoch 55/200, minibatch 2/2, validation error nan %
epoch 56/200, minibatch 2/2, validation error nan %
epoch 57/200, minibatch 2/2, validation error nan %
epoch 58/200, minibatch 2/2, validation error nan %
epoch 59/200, minibatch 2/2, validation error nan %
epoch 60/200, minibatch 2/2, validation error nan %
epoch 61/200, minibatch 2/2, validation error nan %
epoch 62/200, minibatch 2/2, validation error nan %
epoch 63/200, minibatch 2/2, validation error nan %
epoch 64/200, minibatch 2/2, validation error nan %
epoch 65/200, minibatch 2/2, validation error nan %
epoch 66/200, minibatch 2/2, validation error nan %
epoch 67/200, minibatch 2/2, validation error nan %
epoch 68/200, minibatch 2/2, validation error nan %
epoch 69/200, minibatch 2/2, validation error nan %
epoch 70/200, minibatch 2/2, validation error nan %
epoch 71/200, minibatch 2/2, validation error nan %
epoch 72/200, minibatch 2/2, validation error nan %
epoch 73/200, minibatch 2/2, validation error nan %
epoch 74/200, minibatch 2/2, validation error nan %
epoch 75/200, minibatch 2/2, validation error nan %
epoch 76/200, minibatch 2/2, validation error nan %
epoch 77/200, minibatch 2/2, validation error nan %
epoch 78/200, minibatch 2/2, validation error nan %
epoch 79/200, minibatch 2/2, validation error nan %
epoch 80/200, minibatch 2/2, validation error nan %
epoch 81/200, minibatch 2/2, validation error nan %
epoch 82/200, minibatch 2/2, validation error nan %
epoch 83/200, minibatch 2/2, validation error nan %
epoch 84/200, minibatch 2/2, validation error nan %
epoch 85/200, minibatch 2/2, validation error nan %
epoch 86/200, minibatch 2/2, validation error nan %
epoch 87/200, minibatch 2/2, validation error nan %
epoch 88/200, minibatch 2/2, validation error nan %
epoch 89/200, minibatch 2/2, validation error nan %
epoch 90/200, minibatch 2/2, validation error nan %
epoch 91/200, minibatch 2/2, validation error nan %
epoch 92/200, minibatch 2/2, validation error nan %
epoch 93/200, minibatch 2/2, validation error nan %
epoch 94/200, minibatch 2/2, validation error nan %
epoch 95/200, minibatch 2/2, validation error nan %
